Source,Target,Effect,SE,|Effect|/SE,P_empirical,p.adjusted
D10Mit126,C.Th,-0.625591170384385,0.1184814592253,5.28007651555662,0,< 0.00323
D14Mit5,BV.TV.TRABECULAR,0.630801269234394,0.119720521860993,5.26894854306445,0,< 0.00323
D10Mit77,BV.TV,-0.601285245829681,0.114119855320316,5.26889246522415,0,< 0.00323
D2MIT206,BV.CORTICAL,0.635364900360269,0.120597872102117,5.26845863268854,0,< 0.00323
D17MIT175,Tb.N,-0.611328673024003,0.116042192314087,5.2681585967399,0,< 0.00323
D3MIT178,STIFFNESS,0.461290293465051,0.087617802182175,5.26480101048341,0,< 0.00323
D8Mit124,Femur.Length,-0.475149346860724,0.0903692999066169,5.25786243062323,0,< 0.00323
D2MIT206,BV.TV.TRABECULAR,-0.648826816566833,0.123430769394327,5.25660513784867,0,< 0.00323
D3Mit57,STIFFNESS,0.561659177490523,0.106890059353947,5.25455015073655,0,< 0.00323
D9Mit151,BV.TV.TRABECULAR,-0.686083058999311,0.130982989725448,5.23795540502933,0,< 0.00323
D9Mit151,TV,-0.6362379100018,0.121886124663279,5.21993714837895,0,< 0.00323
D9Mit259,D6Mit86,-1.34700698325531,0.259044493634526,5.19990587082594,0,< 0.00323
D9Mit253,BMD.g.cm2,-0.543800315430719,0.104716982724282,5.19304797830681,0,< 0.00323
D17Mit164,BMD.g.cm2,-0.435155669789939,0.0838033132058716,5.19258312282873,0,< 0.00323
D9Mit259,Tb.N,-0.598326566636988,0.115233318917604,5.19230524866523,0,< 0.00323
D4Mit42,BMD.g.cm2,0.544520529498159,0.10492608797434,5.18956286287281,0,< 0.00323
D9Mit253,STIFFNESS,-0.569964070286057,0.110063071991551,5.17852227793358,0,< 0.00323
sex,Tb.Th,0.303190295512251,0.0586076484103489,5.17322062454076,0,< 0.00323
D1Mit540,BMD.g.cm2,0.553453646555132,0.107343756579861,5.15589973920257,0,< 0.00323
D1Mit236,BV.TV,0.585791688434717,0.113652940746131,5.15421496873727,0,< 0.00323
D19Mit40,STIFFNESS,-0.561476309388529,0.108953470909688,5.15335862823445,0,< 0.00323
D7Mit75,BV.TV,0.583305192232535,0.113229089447977,5.15154890917439,0,< 0.00323
D11Mit2,endo.c,-0.637310677178748,0.123795703200137,5.14808398598799,0,< 0.00323
sex,C.Th,-0.389288534338745,0.0756664813506299,5.14479499231405,0,< 0.00323
